row_id,polygon_id,ring_id,distance_px,distance_map,raster_row,raster_col,x,y
0,97,0,0.3106,2.8e-05,1189,952,103.986237,30.860229
1,97,0,0.804417,7.2e-05,1190,952,103.986237,30.860139
2,97,0,0.831964,7.5e-05,1190,953,103.986327,30.860139
3,97,0,0.395024,3.5e-05,1190,954,103.986417,30.860139
4,97,0,0.428669,3.9e-05,1191,951,103.986148,30.86005
5,97,1,1.298234,0.000117,1191,952,103.986237,30.86005
6,97,0,0.884662,7.9e-05,1191,953,103.986327,30.86005
7,97,0,0.004786,0.0,1191,954,103.986417,30.86005
8,97,0,0.05292,5e-06,1192,950,103.986058,30.85996
9,97,0,0.922486,8.3e-05,1192,951,103.986148,30.85996
10,97,1,1.289333,0.000116,1192,952,103.986237,30.85996
11,97,0,0.409457,3.7e-05,1192,953,103.986327,30.85996
12,97,0,0.546737,4.9e-05,1193,950,103.986058,30.85987
13,97,1,1.416303,0.000127,1193,951,103.986148,30.85987
14,97,0,0.814128,7.3e-05,1193,952,103.986237,30.85987
15,97,0,0.170989,1.5e-05,1194,949,103.985968,30.85978
16,97,1,1.040554,9.3e-05,1194,950,103.986058,30.85978
17,97,1,1.2188,0.000109,1194,951,103.986148,30.85978
18,97,0,0.338924,3e-05,1194,952,103.986237,30.85978
19,97,0,0.389579,3.5e-05,1195,950,103.986058,30.85969
20,97,0,0.743595,6.7e-05,1195,951,103.986148,30.85969
21,428,0,0.703946,6.3e-05,732,2973,104.167787,30.901282
22,428,0,0.656423,5.9e-05,732,2974,104.167877,30.901282
23,428,0,0.608901,5.5e-05,732,2975,104.167967,30.901282
24,428,0,0.561378,5e-05,732,2976,104.168056,30.901282
25,428,0,0.513855,4.6e-05,732,2977,104.168146,30.901282
26,428,0,0.466333,4.2e-05,732,2978,104.168236,30.901282
27,428,0,0.41881,3.8e-05,732,2979,104.168326,30.901282
28,428,0,0.135061,1.2e-05,733,2972,104.167697,30.901192
29,428,1,1.118469,0.0001,733,2973,104.167787,30.901192
30,428,1,1.655293,0.000149,733,2974,104.167877,30.901192
31,428,1,1.607771,0.000144,733,2975,104.167967,30.901192
32,428,1,1.560248,0.00014,733,2976,104.168056,30.901192
33,428,1,1.512726,0.000136,733,2977,104.168146,30.901192
34,428,1,1.465203,0.000132,733,2978,104.168236,30.901192
35,428,0,0.76818,6.9e-05,733,2979,104.168326,30.901192
36,428,0,0.316465,2.8e-05,734,2972,104.167697,30.901103
37,428,1,1.299873,0.000117,734,2973,104.167787,30.901103
38,428,2,2.283282,0.000205,734,2974,104.167877,30.901103
39,428,2,2.606641,0.000234,734,2975,104.167967,30.901103
40,428,2,2.559118,0.00023,734,2976,104.168056,30.901103
41,428,2,2.511596,0.000226,734,2977,104.168146,30.901103
42,428,1,1.601556,0.000144,734,2978,104.168236,30.901103
43,428,0,0.613579,5.5e-05,734,2979,104.168326,30.901103
44,428,0,0.497869,4.5e-05,735,2972,104.167697,30.901013
45,428,1,1.481278,0.000133,735,2973,104.167787,30.901013
46,428,2,2.464686,0.000221,735,2974,104.167877,30.901013
47,428,2,3.448095,0.00031,735,2975,104.167967,30.901013
48,428,2,3.422909,0.000307,735,2976,104.168056,30.901013
49,428,2,2.434932,0.000219,735,2977,104.168146,30.901013
50,428,1,1.446955,0.00013,735,2978,104.168236,30.901013
51,428,0,0.458978,4.1e-05,735,2979,104.168326,30.901013
52,428,0,0.679273,6.1e-05,736,2972,104.167697,30.900923
53,428,1,1.662682,0.000149,736,2973,104.167787,30.900923
54,428,2,2.413448,0.000217,736,2974,104.167877,30.900923
55,428,2,2.506584,0.000225,736,2975,104.167967,30.900923
56,428,2,2.59972,0.000234,736,2976,104.168056,30.900923
57,428,2,2.280331,0.000205,736,2977,104.168146,30.900923
58,428,1,1.292354,0.000116,736,2978,104.168236,30.900923
59,428,0,0.304377,2.7e-05,736,2979,104.168326,30.900923
60,428,0,0.860678,7.7e-05,737,2972,104.167697,30.900833
61,428,1,1.324658,0.000119,737,2973,104.167787,30.900833
62,428,1,1.417794,0.000127,737,2974,104.167877,30.900833
63,428,1,1.510931,0.000136,737,2975,104.167967,30.900833
64,428,1,1.604067,0.000144,737,2976,104.168056,30.900833
65,428,1,1.697203,0.000152,737,2977,104.168146,30.900833
66,428,1,1.137753,0.000102,737,2978,104.168236,30.900833
67,428,0,0.149776,1.3e-05,737,2979,104.168326,30.900833
68,428,0,0.058673,5e-06,738,2971,104.167607,30.900743
69,428,0,0.235869,2.1e-05,738,2972,104.167697,30.900743
70,428,0,0.329005,3e-05,738,2973,104.167787,30.900743
71,428,0,0.422141,3.8e-05,738,2974,104.167877,30.900743
72,428,0,0.515277,4.6e-05,738,2975,104.167967,30.900743
73,428,0,0.608414,5.5e-05,738,2976,104.168056,30.900743
74,428,0,0.70155,6.3e-05,738,2977,104.168146,30.900743
75,428,0,0.794686,7.1e-05,738,2978,104.168236,30.900743
76,155,0,0.282205,2.5e-05,620,2080,104.087567,30.911343
77,155,0,0.128166,1.2e-05,621,2079,104.087478,30.911254
78,155,0,0.908085,8.2e-05,621,2080,104.087567,30.911254
79,155,0,0.751332,6.7e-05,621,2081,104.087657,30.911254
