parcel_id,vector_class,spatial_group_30m,spatial_cv_fold
0,1,0,1
2,1,2,3
4,1,112,1
5,1,5,1
6,1,6,0
7,1,7,0
8,1,14,3
9,1,9,2
10,1,63,0
11,1,11,1
12,1,72,2
13,1,72,2
14,1,14,3
15,1,63,0
16,1,112,1
17,1,26,3
18,1,11,1
19,1,132,2
20,1,72,2
21,1,35,4
22,1,132,2
23,1,28,1
24,1,24,0
25,1,6,0
26,1,26,3
27,1,0,1
28,1,28,1
29,1,51,2
30,1,104,0
31,1,104,0
32,1,63,0
33,1,110,1
35,1,35,4
36,1,132,2
37,1,104,0
38,1,0,1
39,1,113,2
40,1,63,0
41,1,63,0
42,1,112,1
43,1,5,1
44,1,51,2
45,1,192,3
46,1,104,0
48,1,6,0
50,1,2,3
51,1,51,2
52,1,0,1
53,1,104,0
54,1,88,0
55,1,63,0
56,1,132,2
57,1,63,0
58,1,35,4
59,1,112,1
60,1,28,1
61,1,28,1
62,1,51,2
63,1,63,0
64,1,64,4
65,1,6,0
66,1,112,1
67,1,51,2
68,1,192,3
69,1,107,3
70,1,14,3
71,1,63,0
72,1,72,2
73,1,24,0
74,1,0,1
75,1,26,3
76,1,112,1
77,1,72,2
78,1,104,0
79,1,72,2
80,1,132,2
81,1,51,2
82,1,132,2
83,1,104,0
84,1,113,2
85,1,14,3
86,1,63,0
87,1,35,4
88,1,88,0
89,1,104,0
90,1,132,2
91,1,186,4
92,1,92,1
93,1,28,1
94,1,88,0
95,1,35,4
96,1,63,0
97,1,97,0
98,1,72,2
99,1,99,4
100,1,186,4
101,1,14,3
102,1,88,0
103,1,132,2
104,1,104,0
105,1,51,2
106,1,132,2
107,1,107,3
108,1,11,1
109,1,72,2
110,1,110,1
111,1,111,1
112,1,112,1
113,1,113,2
114,1,114,4
115,1,111,1
116,1,63,0
117,1,113,2
118,1,26,3
119,1,119,2
120,1,63,0
121,1,88,0
122,1,132,2
123,1,11,1
124,1,124,4
125,1,112,1
126,1,63,0
127,1,51,2
128,1,6,0
129,1,112,1
130,1,72,2
131,1,64,4
132,1,132,2
134,1,132,2
135,1,63,0
136,1,26,3
137,1,112,1
138,1,14,3
139,1,97,0
140,1,26,3
141,1,186,4
142,1,6,0
143,1,110,1
144,1,14,3
145,1,112,1
146,1,88,0
148,1,63,0
149,1,14,3
150,1,14,3
151,1,51,2
152,1,192,3
153,1,51,2
155,1,63,0
156,1,104,0
157,1,119,2
158,1,158,2
159,1,110,1
160,1,88,0
161,1,104,0
162,1,35,4
163,1,63,0
164,1,5,1
165,1,28,1
166,1,0,1
167,1,113,2
168,1,51,2
169,1,192,3
170,1,11,1
171,1,26,3
172,1,112,1
173,1,51,2
174,1,26,3
175,1,104,0
176,1,11,1
177,1,26,3
178,1,6,0
179,1,0,1
180,1,110,1
181,1,63,0
182,1,104,0
183,1,158,2
184,1,114,4
185,1,14,3
186,1,186,4
187,1,14,3
188,1,5,1
189,1,14,3
190,1,63,0
191,1,51,2
192,1,192,3
193,1,24,0
194,1,11,1
195,1,186,4
196,1,72,2
197,1,64,4
198,1,64,4
199,1,104,0
200,1,0,1
201,1,51,2
202,1,35,4
203,1,35,4
204,1,14,3
205,1,0,1
206,1,26,3
207,1,51,2
208,1,2,3
209,1,63,0
210,1,132,2
211,1,132,2
212,1,186,4
213,1,9,2
214,1,104,0
215,1,192,3
216,1,110,1
217,1,104,0
218,1,132,2
219,1,6,0
220,1,63,0
221,1,221,4
222,1,158,2
223,1,63,0
224,1,107,3
225,1,192,3
226,1,63,0
227,1,72,2
228,1,221,4
229,1,28,1
230,1,63,0
231,1,104,0
232,1,104,0
233,1,186,4
234,1,234,2
235,1,72,2
237,1,104,0
238,1,14,3
239,1,14,3
240,1,192,3
241,1,110,1
242,1,186,4
243,1,14,3
244,1,51,2
245,1,192,3
246,1,14,3
251,2,251,2
254,2,318,3
256,2,256,3
258,2,258,4
260,2,327,4
261,2,261,1
264,2,264,3
265,2,341,2
267,2,267,1
268,2,341,2
270,2,270,0
275,2,275,0
276,2,423,2
278,2,278,3
279,2,327,4
281,2,327,4
283,2,341,2
284,2,284,4
285,2,341,2
286,2,341,2
287,2,341,2
294,2,294,4
296,2,264,3
299,2,299,4
304,2,304,3
305,2,341,2
307,2,327,4
311,2,327,4
312,2,312,2
315,2,315,0
316,2,312,2
317,2,440,3
318,2,318,3
320,2,414,4
321,2,321,1
324,2,278,3
326,2,327,4
327,2,327,4
328,2,328,2
332,2,341,2
334,2,334,4
335,2,261,1
338,2,338,0
339,2,341,2
341,2,341,2
342,2,342,1
343,2,341,2
344,2,327,4
346,2,341,2
347,2,258,4
348,2,328,2
350,2,414,4
352,2,278,3
353,2,341,2
354,2,318,3
355,2,423,2
357,2,264,3
358,2,440,3
360,2,334,4
364,2,341,2
365,2,341,2
366,2,338,0
368,2,440,3
369,2,423,2
370,2,327,4
372,2,341,2
376,2,341,2
377,2,278,3
378,2,371,4
382,2,382,2
383,2,327,4
384,2,278,3
386,2,386,1
388,2,388,4
390,2,327,4
391,2,308,1
392,2,341,2
393,2,393,0
394,2,264,3
396,2,341,2
397,2,414,4
398,2,256,3
400,2,251,2
401,2,308,1
402,2,402,3
403,2,341,2
405,2,278,3
406,2,262,2
408,2,327,4
409,2,341,2
411,2,248,1
412,2,341,2
413,2,327,4
414,2,414,4
415,2,341,2
418,2,341,2
420,2,278,3
421,2,264,3
422,2,341,2
423,2,423,2
424,2,414,4
425,2,341,2
429,2,341,2
432,2,386,1
435,2,341,2
436,2,436,2
439,2,327,4
440,2,440,3
443,2,443,4
444,2,341,2
445,2,445,2
448,2,327,4
450,2,440,3
452,2,341,2
455,2,341,2
457,2,327,4
459,2,327,4
460,2,414,4
462,2,278,3
464,2,327,4
465,2,436,2
466,2,466,0
468,2,327,4
469,2,327,4
470,2,318,3
471,2,275,0
